N,P,K,temperature,humidity,ph,rainfall,label
119.22,70.94,52.01,23.89,75.89,6.14,152.4,banana
91.68,51.06,51.41,20.67,68.38,6.99,75.72,maize
49.83,70.01,98.74,24.81,21.41,6.28,65.57,chickpea
95.93,91.02,48.01,29.57,77.01,5.85,157.15,banana
106.73,61.06,59.63,24.44,61.74,7.85,64.1,maize
33.46,120.34,225.75,14.14,77.77,5.61,82.67,grapes
21.63,149.07,205.66,15.73,79.58,5.49,80.08,apple
30.43,125.66,221.49,13.27,86.39,5.9,83.49,grapes
59.97,68.91,110.7,21.65,22.14,6.79,67.99,chickpea
92.85,60.23,59.95,19.35,74.39,6.84,82.64,maize
110.01,88.33,46.4,23.73,95.71,5.84,44.49,watermelon
101.07,109.04,50.54,23.74,77.75,6.96,50.94,watermelon
101.29,46.3,53.8,24.5,81.35,6.72,249.69,rice
135.63,47.09,55.83,25.54,73.49,6.64,76.14,cotton
89.59,53.94,50.59,29.26,85.77,5.27,213.13,rice
32.26,75.62,65.27,18.21,42.99,6.18,83.56,kidneybeans
28.35,146.89,232.58,16.06,94.59,6.53,94.49,grapes
102.85,56.57,47.14,26.0,92.44,6.78,236.48,rice
99.89,54.74,67.8,20.88,55.3,7.26,84.15,maize
125.53,44.4,48.18,26.77,56.28,7.37,85.68,cotton
138.6,47.92,53.89,27.88,59.63,6.44,73.2,cotton
92.29,54.66,62.64,24.79,71.77,6.06,80.05,maize
32.8,141.94,198.48,13.08,81.77,5.56,94.87,grapes
117.03,90.59,59.62,26.26,83.69,6.25,130.24,banana
119.0,89.6,61.21,23.93,70.9,5.76,142.29,banana
109.21,55.9,52.15,23.4,66.49,6.02,73.99,maize
143.67,50.04,52.77,23.32,55.4,6.16,65.19,cotton
93.24,43.34,50.11,25.46,83.77,5.38,247.39,rice
117.05,99.72,47.76,28.32,97.4,5.94,44.35,watermelon
58.92,60.2,98.83,23.79,25.16,7.78,64.47,chickpea
117.12,77.41,48.42,29.96,89.11,5.77,127.64,banana
58.31,67.32,110.63,20.55,22.6,6.05,66.48,chickpea
117.75,91.76,51.0,27.89,76.74,5.3,133.81,banana
133.94,51.73,47.43,23.9,55.35,7.71,67.94,cotton
22.44,119.97,219.59,15.98,81.64,6.62,87.74,apple
30.38,124.66,241.37,14.64,80.7,5.42,78.19,grapes
105.01,104.25,44.32,25.98,93.46,5.6,49.52,watermelon
32.55,146.6,237.6,13.67,94.98,6.32,74.21,grapes
117.88,104.51,39.24,26.11,80.92,6.55,47.6,watermelon
28.95,66.11,57.77,19.76,35.25,6.31,99.73,kidneybeans
113.65,58.14,64.92,18.9,60.58,7.92,74.79,maize
30.75,149.04,232.72,16.45,77.15,5.59,84.15,grapes
98.61,51.58,43.99,28.63,94.0,6.48,243.15,rice
85.95,58.36,64.84,23.75,74.33,7.2,73.21,maize
55.93,78.94,89.64,18.95,23.92,6.06,62.41,chickpea
123.16,81.48,53.11,28.86,80.65,5.46,130.68,banana
32.98,73.35,59.17,22.73,42.16,5.28,102.68,kidneybeans
94.79,97.73,40.55,27.27,84.67,6.99,45.64,watermelon
109.85,64.71,63.17,21.93,66.51,6.42,73.07,maize
98.32,92.87,49.39,26.9,75.1,5.85,43.82,watermelon
115.11,100.56,43.14,22.74,76.25,6.57,49.86,watermelon
26.35,66.57,52.21,21.81,40.7,5.66,97.98,kidneybeans
28.18,71.83,59.19,21.02,42.52,5.76,102.6,kidneybeans
62.03,68.64,86.92,20.16,21.85,5.86,62.74,chickpea
94.09,56.05,59.85,23.29,57.17,7.66,66.77,maize
100.02,45.18,56.19,30.0,79.86,6.46,232.36,rice
115.12,88.94,48.25,23.27,74.42,5.67,48.0,watermelon
125.3,100.87,38.31,24.14,72.96,7.29,45.86,watermelon
87.3,55.46,55.33,27.93,85.18,6.13,228.67,rice
28.59,77.55,60.84,22.72,35.24,6.07,101.2,kidneybeans
122.36,90.26,50.9,28.16,80.48,6.1,50.33,watermelon
117.0,109.81,46.19,26.01,80.63,6.28,50.8,watermelon
101.25,74.98,55.12,31.27,86.79,5.38,151.42,banana
57.7,72.39,107.93,22.27,21.57,6.76,67.35,chickpea
31.26,128.19,247.57,16.78,77.05,5.27,94.66,grapes
57.5,64.83,110.65,21.5,23.99,6.34,68.52,chickpea
134.27,47.07,43.95,21.35,66.01,7.65,71.2,cotton
118.76,68.85,62.94,31.78,82.36,6.41,122.38,banana
103.78,95.14,40.28,23.66,86.67,6.32,38.33,watermelon
48.26,72.49,112.93,25.28,25.94,5.9,67.82,chickpea
158.19,52.14,54.89,21.52,64.28,7.14,74.74,cotton
124.08,72.63,47.24,23.99,80.28,5.55,155.41,banana
26.93,138.92,253.77,14.95,97.55,6.75,97.11,apple
94.44,59.12,51.97,21.07,55.44,6.15,82.09,maize
86.38,66.34,62.94,19.83,62.22,6.77,77.74,maize
88.9,46.26,45.12,28.3,72.91,5.3,244.57,rice
119.43,110.57,46.49,22.43,96.65,7.44,47.07,watermelon
59.0,71.97,100.76,24.48,27.15,6.84,64.06,chickpea
90.79,47.42,55.47,30.78,79.37,6.46,218.23,rice
26.36,122.92,193.22,13.78,91.38,7.06,74.55,apple
107.89,49.97,50.22,26.99,80.12,5.31,255.05,rice
26.18,120.99,194.76,13.06,96.45,6.36,76.74,apple
32.33,114.7,209.71,13.99,90.26,6.11,78.2,grapes
109.12,69.3,61.07,31.8,84.41,5.77,145.7,banana
32.86,69.62,61.21,22.61,39.26,6.54,87.32,kidneybeans
145.68,55.76,47.27,27.64,64.65,6.56,77.44,cotton
95.52,109.07,49.95,26.21,81.73,6.33,40.38,watermelon
93.18,56.08,44.71,26.49,96.38,5.68,221.7,rice
90.78,65.99,66.07,20.35,64.15,7.77,79.6,maize
26.81,79.11,53.77,19.98,47.07,6.7,82.92,kidneybeans
29.79,146.93,249.88,14.91,81.24,5.63,98.01,grapes
27.26,138.29,195.8,13.21,93.09,5.6,77.19,grapes
106.23,65.5,67.47,22.41,74.12,7.02,66.77,maize
30.62,77.01,51.92,17.05,42.6,6.6,102.95,kidneybeans
86.71,51.26,50.04,29.86,76.26,7.06,196.66,rice
31.19,148.37,206.7,15.42,78.29,6.79,86.7,grapes
114.23,58.98,65.86,20.48,63.38,7.2,67.98,maize
26.98,131.1,195.58,13.96,76.2,5.39,92.13,apple
93.02,66.44,68.74,23.18,57.11,7.86,81.43,maize
57.62,66.06,102.33,20.76,27.94,6.43,59.0,chickpea
138.13,52.72,46.31,25.77,73.81,7.61,64.03,cotton
29.02,116.35,214.02,12.85,82.25,5.83,98.88,grapes
100.25,55.69,55.46,25.19,92.4,6.04,254.31,rice
100.33,98.84,41.56,25.77,97.49,7.08,51.38,watermelon
121.82,93.35,51.2,28.37,79.81,7.28,51.37,watermelon
125.12,80.65,51.13,29.5,89.31,6.0,136.53,banana
88.24,51.02,57.95,23.54,74.15,7.7,74.84,maize
96.26,69.66,53.43,26.31,85.09,6.89,141.04,banana
91.33,56.64,55.65,25.5,88.96,6.01,252.98,rice
96.27,89.49,56.54,26.91,83.59,5.98,137.42,banana
22.49,128.89,226.26,13.14,83.88,6.73,97.44,apple
61.09,63.26,106.36,21.47,23.57,7.35,63.95,chickpea
122.97,90.14,61.72,30.61,82.18,6.68,133.32,banana
109.87,53.58,52.78,27.21,88.72,6.06,215.67,rice
29.58,121.93,249.2,14.0,95.61,5.7,82.08,grapes
48.51,63.38,107.87,22.74,23.25,6.94,59.75,chickpea
125.53,50.0,54.01,23.02,68.48,6.57,85.72,cotton
49.44,74.98,96.69,21.2,23.22,6.64,59.92,chickpea
52.66,69.13,104.96,24.53,22.5,6.15,63.08,chickpea
87.73,60.19,65.56,21.69,65.26,6.81,65.05,maize
111.7,90.72,51.21,24.15,68.85,6.21,146.31,banana
28.71,119.4,232.2,14.22,89.14,6.96,90.92,apple
27.2,118.71,212.71,15.31,96.44,5.9,98.76,grapes
57.86,69.74,107.1,24.57,24.11,6.36,67.57,chickpea
21.56,138.36,233.44,12.99,77.55,6.03,96.29,apple
120.1,92.28,44.93,25.68,89.22,5.73,48.79,watermelon
49.5,61.66,86.91,24.5,25.36,5.83,62.99,chickpea
93.87,44.41,48.81,30.57,89.52,6.95,232.8,rice
56.22,69.72,102.76,21.76,25.41,7.46,58.69,chickpea
102.82,54.2,66.67,22.57,62.07,6.2,83.88,maize
96.2,62.12,63.0,22.77,64.67,6.87,63.9,maize
119.51,76.04,53.48,29.28,79.3,7.08,145.12,banana
92.31,44.39,50.97,23.51,91.76,5.66,205.83,rice
113.41,43.78,49.79,23.51,91.65,6.69,199.92,rice
158.61,43.28,56.58,24.49,74.65,6.43,79.05,cotton
23.93,146.79,204.93,16.87,82.48,6.14,98.15,apple
107.3,74.31,53.02,28.7,83.31,6.17,146.59,banana
127.19,44.65,50.3,25.54,71.96,6.91,66.63,cotton
111.13,85.71,44.74,26.7,79.72,6.3,49.35,watermelon
120.55,106.91,43.98,24.2,74.08,6.48,48.25,watermelon
33.6,129.91,231.99,17.24,95.71,7.01,98.19,grapes
28.05,73.72,58.53,19.45,36.65,5.81,83.57,kidneybeans
33.29,112.89,203.73,12.78,76.73,5.64,77.71,grapes
101.51,43.26,57.49,29.72,96.96,6.99,248.54,rice
108.94,63.84,52.48,19.72,69.13,7.18,80.39,maize
115.39,105.04,42.87,25.14,73.86,6.24,46.92,watermelon
101.37,55.02,51.24,24.15,75.5,5.84,251.93,rice
121.56,53.78,42.61,25.62,74.51,6.07,75.5,cotton
114.51,63.19,58.19,23.67,74.08,6.76,63.99,maize
90.61,56.87,59.24,20.43,72.07,6.96,78.13,maize
26.27,110.84,249.45,12.99,93.99,5.85,97.49,grapes
121.12,98.0,39.82,22.69,78.9,6.12,45.19,watermelon
105.54,55.14,54.14,24.81,73.07,5.86,209.32,rice
27.17,126.62,229.03,13.8,76.01,5.52,92.26,grapes
21.89,116.64,196.19,14.62,83.33,6.57,78.29,apple
114.21,49.94,49.96,30.44,85.49,6.76,240.33,rice
26.87,74.25,68.35,19.83,45.43,6.36,81.94,kidneybeans
153.42,54.4,42.8,24.11,71.9,7.44,84.48,cotton
29.31,62.53,54.15,22.82,40.26,5.74,92.42,kidneybeans
113.82,52.03,54.93,28.68,83.35,6.63,256.42,rice
160.08,48.86,43.62,23.12,58.46,6.51,77.83,cotton
26.83,62.66,63.34,18.8,40.21,5.86,98.92,kidneybeans
123.63,100.37,38.47,24.53,73.07,6.51,49.03,watermelon
112.51,90.26,59.54,28.21,71.11,5.87,159.12,banana
103.45,91.9,48.68,23.1,79.2,5.77,48.83,watermelon
33.97,117.36,228.24,16.99,95.07,5.71,95.03,grapes
107.73,69.25,51.78,28.35,76.35,5.32,144.57,banana
97.16,89.03,48.37,23.68,92.02,6.33,40.3,watermelon
107.47,63.4,56.13,21.25,58.43,7.05,85.46,maize
58.11,79.11,114.59,20.6,25.82,6.43,65.5,chickpea
32.87,110.93,208.87,13.4,72.89,6.48,93.85,grapes
22.37,133.01,243.85,16.03,87.22,5.92,74.58,apple
91.67,54.75,49.4,25.42,92.53,5.69,192.85,rice
93.86,88.52,42.45,22.02,88.28,6.44,47.17,watermelon
31.15,65.66,68.45,20.25,36.47,5.91,88.48,kidneybeans
34.19,72.14,59.76,20.71,46.83,5.94,94.69,kidneybeans
100.79,65.67,55.81,21.32,62.52,6.71,76.46,maize
101.91,56.47,62.21,21.76,66.79,6.89,81.13,maize
27.39,123.22,207.01,16.67,80.22,6.97,99.33,grapes
114.06,56.25,63.51,21.94,66.48,6.37,72.21,maize
112.8,111.29,47.58,27.21,91.59,5.96,39.64,watermelon
105.74,95.88,42.18,28.34,76.29,6.76,44.67,watermelon
106.61,91.96,43.24,25.47,88.64,6.17,49.18,watermelon
30.11,69.78,66.94,19.86,41.78,6.06,96.93,kidneybeans
26.54,63.02,58.18,18.81,44.03,6.67,90.88,kidneybeans
29.51,61.44,51.99,20.85,42.03,5.68,101.76,kidneybeans
125.82,49.31,54.34,21.57,59.53,5.87,68.77,cotton
123.43,91.11,54.47,29.87,74.65,7.1,134.03,banana
33.17,76.19,57.51,17.18,36.64,5.29,98.27,kidneybeans
28.93,67.88,54.2,22.79,45.5,5.44,99.51,kidneybeans
95.52,99.06,40.36,23.88,86.51,5.97,46.74,watermelon
106.62,113.24,51.73,22.71,93.67,5.96,38.48,watermelon
30.4,130.76,230.09,13.9,86.29,7.02,93.26,grapes
27.09,123.66,224.49,14.53,83.35,6.74,75.16,apple
113.17,44.51,44.23,23.82,86.36,5.78,232.08,rice
29.25,76.46,64.91,21.15,37.39,6.46,90.62,kidneybeans
47.46,63.84,112.23,21.08,24.77,6.71,56.16,chickpea
101.18,62.76,57.26,19.88,65.73,6.96,80.13,maize
102.78,65.51,63.56,24.73,55.8,7.32,85.07,maize
128.67,51.86,46.09,26.76,73.83,6.55,80.4,cotton
26.89,128.95,193.32,16.97,75.26,5.71,96.89,grapes
124.39,56.65,42.65,27.33,71.52,6.57,73.18,cotton
103.17,73.86,50.76,30.25,76.69,6.12,150.42,banana
26.08,134.14,208.8,15.65,90.1,5.45,89.78,grapes
25.21,126.39,205.56,15.65,87.92,5.5,76.62,apple
137.04,48.06,55.85,28.75,71.18,7.81,78.71,cotton
96.93,83.59,56.92,27.25,79.91,6.67,157.94,banana
94.57,74.46,62.86,28.54,81.53,6.74,120.92,banana
118.41,113.78,42.61,22.09,87.09,7.3,47.7,watermelon
29.77,131.71,196.85,16.01,90.5,6.99,85.82,grapes
123.41,110.2,49.67,27.12,85.62,5.97,40.98,watermelon
132.77,51.24,54.84,23.96,57.16,7.34,82.39,cotton
26.5,126.2,254.58,13.81,82.58,6.72,77.77,apple
32.6,72.19,58.66,18.08,41.12,6.3,88.65,kidneybeans
97.63,80.9,59.56,27.22,82.03,5.53,129.93,banana
108.33,112.72,40.65,23.41,85.83,6.18,44.51,watermelon
31.71,67.79,56.45,17.75,35.02,5.48,76.93,kidneybeans
59.32,74.13,87.93,19.58,24.83,6.25,72.0,chickpea
98.75,62.95,57.45,19.12,65.67,6.32,73.42,maize
26.42,114.52,251.72,13.79,94.35,5.65,84.71,apple
124.27,87.06,51.99,30.87,83.87,6.9,120.5,banana
119.04,113.62,43.66,21.46,85.31,7.32,50.22,watermelon
88.38,53.92,59.26,20.4,58.88,7.39,81.54,maize
87.18,49.37,57.48,31.02,74.12,5.67,209.15,rice
25.12,131.17,218.6,15.28,78.26,5.55,80.98,apple
52.25,67.76,89.71,20.99,23.89,7.06,59.86,chickpea
121.05,106.98,45.32,24.69,74.2,6.25,40.23,watermelon
25.71,112.04,231.12,16.23,79.1,6.07,89.84,apple
90.62,59.08,60.99,21.39,55.76,6.6,65.84,maize
27.4,60.52,62.59,18.94,35.53,5.4,102.2,kidneybeans
25.45,125.89,235.1,15.96,93.08,5.37,78.64,apple
136.2,45.99,48.43,25.31,73.93,7.71,80.31,cotton
27.19,124.74,191.4,15.18,74.4,6.83,78.66,apple
108.89,91.18,54.67,30.89,73.23,5.38,158.43,banana
31.91,113.35,204.99,13.68,88.58,5.3,98.02,grapes
26.09,111.72,248.83,13.88,77.01,6.2,91.13,grapes
51.31,66.2,98.23,19.48,22.37,6.34,55.55,chickpea
30.06,66.89,61.84,21.88,43.92,6.11,77.24,kidneybeans
116.98,94.42,49.77,28.04,83.62,7.25,40.74,watermelon
114.67,60.78,59.89,24.89,71.85,6.83,68.09,maize
27.45,126.51,191.94,13.33,94.25,6.72,98.37,grapes
25.6,112.84,244.45,13.26,89.23,6.36,74.18,grapes
120.41,110.34,49.81,23.75,87.97,6.97,49.54,watermelon
28.27,147.49,225.77,14.49,94.46,6.55,92.1,grapes
92.85,46.4,49.19,31.02,79.53,6.97,224.41,rice
129.82,49.64,55.96,22.17,57.9,6.97,80.07,cotton
118.1,114.88,43.73,25.89,76.6,6.2,40.35,watermelon
57.09,61.97,88.95,20.04,25.92,6.3,64.19,chickpea
106.86,68.08,68.08,21.28,74.64,7.86,64.48,maize
90.65,68.07,67.53,21.36,59.7,7.37,66.7,maize
109.61,73.94,48.55,30.68,81.61,7.11,154.09,banana
26.79,117.04,216.15,13.69,96.7,6.25,94.97,apple
101.95,89.04,57.48,24.98,70.98,6.33,120.66,banana
56.57,65.81,106.92,22.5,21.84,5.89,70.28,chickpea
49.72,72.3,106.26,25.16,21.26,5.83,67.45,chickpea
32.5,120.07,246.26,14.7,79.19,7.02,81.79,grapes
23.65,129.52,237.16,16.46,77.97,5.63,90.34,apple
28.33,146.2,229.49,15.9,72.44,6.73,98.86,grapes
102.94,56.84,57.93,20.63,62.81,6.04,84.03,maize
27.31,134.2,213.83,14.22,78.89,5.49,81.4,grapes
26.99,117.27,206.12,13.23,78.34,5.84,89.08,grapes
58.06,76.29,111.64,21.03,28.52,6.35,55.86,chickpea
28.44,142.67,223.82,13.41,79.21,5.87,99.67,grapes
112.78,66.78,51.17,22.45,57.34,7.9,70.15,maize
22.23,144.72,250.86,16.47,92.63,6.89,75.76,apple
22.05,140.87,198.81,13.33,87.48,6.99,80.33,apple
34.49,69.82,52.89,19.63,42.95,5.43,80.37,kidneybeans
100.29,69.87,62.78,24.31,68.32,5.67,153.38,banana
113.35,107.76,40.67,22.61,88.81,6.49,39.86,watermelon
58.14,60.76,109.41,21.85,25.97,6.7,61.78,chickpea
29.39,76.43,56.58,21.11,36.46,6.51,98.97,kidneybeans
85.81,52.14,44.54,26.69,73.53,5.98,205.54,rice
27.87,119.04,245.81,14.05,96.27,6.33,80.76,apple
26.26,131.56,210.63,15.1,91.83,5.55,95.47,apple
148.63,50.74,53.33,24.31,67.17,6.54,65.04,cotton
116.68,79.43,51.34,24.12,71.74,6.14,145.89,banana
49.17,62.63,100.94,21.27,25.58,6.18,68.54,chickpea
113.32,76.39,48.03,27.53,80.26,5.71,132.68,banana
126.31,55.78,53.28,23.8,66.06,6.23,64.23,cotton
91.34,65.83,64.34,23.71,72.16,7.56,75.34,maize
27.1,124.96,238.44,16.85,74.77,7.04,97.24,grapes
29.15,61.88,54.45,18.47,45.02,6.13,91.62,kidneybeans
99.05,108.5,51.6,21.94,92.74,5.81,40.48,watermelon
93.1,54.62,50.57,26.87,83.36,6.63,209.37,rice
98.95,55.07,55.83,19.11,69.92,7.25,65.68,maize
159.85,48.47,45.02,24.56,65.1,7.39,80.86,cotton
92.4,62.25,61.69,19.99,57.34,6.5,85.1,maize
32.28,68.36,55.11,21.81,39.93,6.03,88.89,kidneybeans
61.08,76.72,85.41,23.28,22.08,6.7,55.69,chickpea
112.39,49.42,44.26,29.69,84.96,6.6,225.6,rice
21.92,120.05,208.96,13.47,90.55,6.13,74.58,apple
109.04,105.6,47.68,28.1,89.3,7.15,47.78,watermelon
27.85,74.22,59.73,21.8,45.45,5.91,78.78,kidneybeans
26.6,138.34,250.91,15.14,95.22,6.37,99.06,apple
27.89,130.73,225.4,15.31,81.16,5.66,93.26,apple
33.57,72.74,57.47,17.51,42.63,6.64,80.28,kidneybeans
86.11,50.03,51.35,29.99,94.54,6.09,226.75,rice
23.31,140.93,256.29,13.04,88.26,7.08,86.87,apple
26.24,70.12,66.33,18.67,36.48,5.79,99.66,kidneybeans
23.57,131.65,228.29,13.06,97.31,6.89,96.21,apple
33.22,67.66,67.38,19.36,46.88,5.75,78.94,kidneybeans
27.52,73.91,53.79,19.97,42.59,6.25,84.35,kidneybeans
146.87,43.47,50.13,26.88,67.83,6.92,74.97,cotton
22.0,130.14,206.73,15.34,72.25,6.57,98.34,apple
94.65,113.76,43.94,22.48,89.65,7.15,44.53,watermelon
24.27,119.43,236.86,14.28,89.67,5.82,98.99,apple
29.39,144.46,243.94,12.87,89.38,7.0,84.15,grapes
113.3,76.04,62.58,32.14,73.8,7.08,127.09,banana
55.17,67.83,100.07,23.07,27.61,7.43,67.22,chickpea
119.97,51.09,51.09,23.3,69.78,7.51,67.82,cotton
27.33,146.1,238.18,14.74,81.35,5.6,97.31,apple
26.97,75.87,56.13,21.52,42.89,5.49,89.75,kidneybeans
31.39,67.71,64.92,21.49,43.88,6.37,81.76,kidneybeans
33.32,72.69,59.57,21.17,36.32,6.22,92.03,kidneybeans
33.97,141.98,212.29,14.06,81.15,5.61,87.48,grapes
157.25,45.25,51.03,24.2,73.69,6.36,83.34,cotton
54.52,73.69,88.18,19.06,24.45,6.15,66.87,chickpea
105.78,52.12,53.13,20.72,63.16,6.91,83.89,maize
103.36,88.75,48.28,24.66,74.05,7.43,50.54,watermelon
87.55,43.29,44.86,27.95,89.44,5.78,235.93,rice
119.51,110.57,45.99,25.17,96.23,7.11,46.73,watermelon
24.15,118.38,196.73,13.62,87.85,6.8,95.44,apple
48.98,71.25,99.64,23.0,22.72,7.04,69.6,chickpea
23.22,148.34,204.64,14.79,74.52,5.52,98.26,apple
26.36,67.1,64.7,20.24,37.55,6.7,94.3,kidneybeans
136.9,49.51,48.63,27.28,61.43,6.66,67.79,cotton
121.75,91.71,61.79,26.19,88.2,6.02,156.62,banana
28.92,64.0,55.1,17.68,46.96,5.5,79.48,kidneybeans
139.47,44.83,52.35,22.95,62.96,6.48,73.39,cotton
32.76,144.2,216.2,17.12,73.86,6.1,84.83,grapes
113.85,53.09,67.93,19.64,61.33,6.81,68.4,maize
160.21,47.5,54.92,22.83,69.54,7.54,79.51,cotton
55.49,64.32,109.07,23.91,24.11,6.98,69.71,chickpea
26.66,63.69,61.9,17.61,39.97,7.12,84.7,kidneybeans
57.84,80.11,104.5,25.02,25.03,7.2,61.54,chickpea
107.92,71.33,54.04,26.43,90.44,6.6,138.67,banana
111.91,98.06,42.95,21.44,81.58,6.43,47.3,watermelon
121.46,48.35,47.3,24.35,61.57,6.64,82.37,cotton
34.2,142.21,257.66,12.76,77.07,7.01,98.17,grapes
33.72,146.33,196.97,15.75,80.37,6.22,76.91,grapes
99.82,53.82,53.9,26.59,95.82,6.32,234.13,rice
34.2,72.06,64.47,17.27,37.97,6.42,84.67,kidneybeans
27.66,71.23,51.22,21.39,46.53,5.52,84.49,kidneybeans
152.47,54.96,45.02,22.5,63.36,6.09,71.11,cotton
102.6,67.51,64.94,24.29,72.03,7.85,72.16,maize
109.7,57.6,65.81,18.97,69.27,7.0,86.02,maize
26.47,144.94,236.04,16.66,91.52,6.0,92.94,apple
109.7,43.61,57.09,28.15,83.72,6.54,214.5,rice
134.83,53.26,53.54,24.11,67.77,7.03,83.01,cotton
152.07,52.24,43.66,21.48,71.48,7.26,78.88,cotton
30.43,140.3,218.8,15.65,77.69,5.53,76.79,grapes
118.44,82.77,51.74,25.84,80.29,5.51,141.82,banana
33.29,64.44,63.64,19.37,38.76,5.98,86.8,kidneybeans
114.34,86.82,60.66,29.07,74.25,6.3,158.85,banana
62.64,65.31,103.19,19.98,28.22,6.95,60.34,chickpea
24.38,130.07,255.55,16.33,88.57,5.84,89.62,apple
111.45,114.5,40.87,25.86,72.68,7.16,49.7,watermelon
25.81,121.53,229.43,15.31,94.77,5.37,92.67,grapes
33.48,72.18,65.21,20.83,42.37,5.59,102.69,kidneybeans
29.0,123.96,216.97,14.96,90.72,6.96,76.28,grapes
34.13,63.91,64.41,18.35,39.19,5.77,94.87,kidneybeans
29.56,139.45,223.68,15.0,91.72,5.85,100.03,grapes
104.5,50.67,45.81,27.72,92.89,5.28,245.64,rice
26.66,147.79,199.61,16.65,86.34,5.96,82.18,grapes
97.31,73.79,58.84,31.19,76.69,5.92,140.24,banana
30.84,66.55,53.17,17.85,39.96,6.57,91.44,kidneybeans
26.8,143.52,244.54,16.49,77.92,7.02,88.21,apple
109.49,58.07,53.05,22.42,66.8,6.99,79.09,maize
109.32,55.72,42.87,28.92,80.72,7.0,245.4,rice
28.0,145.64,246.38,14.95,87.55,6.44,84.27,grapes
98.03,59.16,61.96,20.74,69.71,7.4,66.44,maize
26.36,149.22,214.04,12.9,72.54,5.32,91.3,apple
54.36,68.37,103.39,19.06,25.13,6.07,71.43,chickpea
107.48,71.76,62.81,28.18,91.47,5.5,127.9,banana
118.24,94.51,40.83,28.64,92.64,6.23,41.7,watermelon
94.44,47.35,57.05,26.22,85.37,7.11,235.64,rice
24.63,115.24,242.95,16.26,84.12,5.5,91.38,apple
33.97,60.88,67.05,19.75,35.84,6.94,84.29,kidneybeans
100.85,68.6,68.76,24.86,57.82,7.65,76.54,maize
51.97,71.48,112.4,20.71,28.32,6.67,74.41,chickpea
50.44,77.58,103.51,24.72,24.19,7.21,68.22,chickpea
144.45,43.58,44.55,24.77,58.27,6.26,64.04,cotton
128.07,47.89,44.43,25.92,56.7,6.39,72.34,cotton
26.4,114.49,249.33,16.98,74.96,6.59,83.59,apple
92.56,59.4,63.19,24.14,62.99,6.08,75.26,maize
27.25,66.17,61.89,22.66,46.02,5.94,80.49,kidneybeans
25.18,119.79,220.02,16.58,73.42,7.06,80.89,apple
62.66,65.68,90.32,23.21,22.65,6.13,65.27,chickpea
102.91,62.0,61.57,21.0,71.74,7.14,82.06,maize
92.68,55.16,68.8,20.65,64.3,6.07,67.68,maize
50.83,65.47,103.79,19.57,27.54,5.84,68.19,chickpea
28.74,139.55,240.61,15.83,75.64,5.68,98.99,apple
105.35,49.8,52.51,23.32,82.33,6.38,191.77,rice
99.19,113.09,51.28,26.81,92.91,5.88,50.12,watermelon
144.19,57.22,52.94,26.33,74.21,7.3,71.22,cotton
124.43,53.07,55.45,22.14,59.4,6.84,80.55,cotton
110.79,85.61,46.43,28.62,73.76,6.25,40.52,watermelon
108.36,52.05,68.85,22.19,70.2,7.93,85.66,maize
23.55,140.3,208.2,16.37,87.2,6.44,91.43,apple
122.28,112.38,46.35,25.55,94.98,6.9,50.13,watermelon
51.58,64.36,85.22,21.17,24.34,6.92,62.95,chickpea
34.38,61.82,52.08,19.24,42.56,5.93,77.79,kidneybeans
97.82,59.92,68.5,24.91,68.34,7.49,70.92,maize
92.14,47.36,45.11,23.37,91.16,6.25,241.58,rice
23.5,111.39,257.48,14.22,90.4,6.89,98.26,apple
28.62,125.71,215.19,16.13,91.57,6.88,75.05,apple
30.83,62.63,61.33,17.03,46.91,5.34,89.21,kidneybeans
21.44,147.37,216.58,13.0,88.78,5.42,90.39,apple
26.68,65.66,63.8,22.76,45.1,6.52,96.33,kidneybeans
155.54,52.01,50.76,27.38,59.55,6.42,76.84,cotton
138.36,49.25,49.24,27.75,61.59,7.52,78.7,cotton
103.64,88.88,57.45,25.04,89.03,6.66,129.1,banana
123.94,86.44,50.04,26.56,75.61,7.12,139.42,banana
107.44,91.21,48.37,25.99,75.25,5.85,142.68,banana
106.82,52.87,60.54,20.27,64.84,5.99,86.18,maize
101.55,51.21,60.53,20.51,74.31,5.9,82.05,maize
137.85,42.58,45.42,21.86,66.4,5.92,80.34,cotton
121.6,50.53,55.21,28.6,61.48,6.62,79.03,cotton
22.96,123.04,235.89,14.4,93.2,6.73,83.75,apple
53.54,68.8,113.01,24.6,28.25,6.34,70.44,chickpea
122.51,77.23,61.34,30.71,70.7,5.59,123.63,banana
29.26,142.71,201.49,15.21,78.76,6.97,73.96,grapes
114.31,80.31,59.57,29.74,75.56,6.99,137.2,banana
111.29,54.26,52.76,19.54,60.29,7.54,80.92,maize
105.29,57.93,66.1,22.39,74.51,5.98,78.23,maize
138.5,47.33,48.11,26.46,69.21,6.89,69.79,cotton
95.16,52.89,52.25,29.85,93.98,6.87,216.9,rice
147.8,48.55,54.18,25.28,61.61,5.91,81.42,cotton
152.4,45.27,54.69,21.4,66.09,6.98,82.02,cotton
132.83,47.04,54.73,26.38,60.6,7.33,86.2,cotton
32.54,118.21,219.01,14.86,94.38,5.51,98.26,grapes
112.2,59.24,56.69,23.42,70.44,6.87,77.95,maize
107.7,83.85,46.76,25.91,76.41,5.8,155.08,banana
29.59,149.14,230.64,14.0,86.72,5.64,75.28,grapes
113.55,42.99,48.06,26.54,96.49,6.86,197.96,rice
